KIC,ID,_RA,_DE,S_N,Teff_ion_,e_Teff_ion_,Teff_exc_,e_Teff_exc_,__Fe_H_,e__Fe_H_,Vturb,e_Vturb,logg,Age,e_Age,vsini,__Fe_H_,e__Fe_H_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Na_Fe_,e__Na_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__S_Fe_,e__S_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Cr_Fe_,e__Cr_Fe_,__Ni_Fe_,e__Ni_Fe_,__Zn_Fe_,e__Zn_Fe_,__Y_Fe_,e__Y_Fe_
3427720,BD+38 3428,286.43859,38.52293,280,6074,20,6109,24,-0.024,0.017,1.28,0.06,4.386,2.4,0.3,4,-0.024,0.017,-0.003,0.023,0.044,0.029,-0.021,0.013,-0.011,0.014,-0.027,0.016,0.012,0.012,-0.011,0.027,0.008,0.015,0.003,0.013,0.005,0.013,-0.012,0.011,-0.049,0.023,-0.006,0.015
6106415,HD177153,285.41533,41.49009,400,6071,14,6108,17,-0.037,0.012,1.29,0.04,4.299,4.8,0.6,4,-0.037,0.012,-0.055,0.016,-0.057,0.02,-0.031,0.009,-0.001,0.01,-0.001,0.011,0,0.008,-0.048,0.019,0.005,0.011,0.001,0.009,-0.015,0.009,-0.025,0.008,-0.031,0.016,0.001,0.011
6225718,HD187637,297.32558,41.58246,370,6287,18,6330,33,-0.11,0.014,1.49,0.06,4.319,2.6,0.4,5,-0.11,0.014,-0.015,0.018,-0.013,0.022,-0.074,0.01,-0.019,0.011,-0.03,0.012,0.007,0.009,-0.024,0.02,0.032,0.012,0.018,0.011,-0.011,0.01,-0.048,0.009,-0.06,0.017,0.032,0.012
7940546,HD175226,283.06875,43.70991,430,6326,15,6312,28,-0.126,0.012,1.71,0.05,4.005,2.4,0.3,9.7,-0.126,0.012,-0.027,0.015,0.002,0.019,-0.047,0.009,-0.036,0.01,-0.033,0.011,0.027,0.008,-0.037,0.017,0.037,0.01,0.02,0.009,-0.024,0.009,-0.062,0.008,-0.048,0.015,0.02,0.01
9139151,BD+45 2796,284.0886,45.51479,250,6115,22,6158,27,0.096,0.019,1.28,0.06,4.379,1.9,0.7,6,0.096,0.019,-0.071,0.025,-0.061,0.032,-0.055,0.014,-0.065,0.016,-0.064,0.017,-0.001,0.013,-0.002,0.03,-0.008,0.017,-0.005,0.014,-0.014,0.014,-0.019,0.013,-0.05,0.025,0.036,0.017
10162436,HD188819,298.72575,47.14526,250,6261,27,6257,49,-0.073,0.021,1.57,0.09,3.977,2.5,0.4,6.5,-0.073,0.021,-0.064,0.026,-0.028,0.033,-0.036,0.015,-0.038,0.016,-0.049,0.018,0.008,0.013,-0.022,0.029,0.006,0.017,0.017,0.016,-0.01,0.015,-0.061,0.014,-0.033,0.026,0.033,0.018
10644253,BD+48 2683,280.92676,47.93778,250,6102,22,6150,27,0.13,0.019,1.17,0.06,4.403,1.3,0.7,3.8,0.13,0.019,-0.087,0.025,-0.075,0.032,-0.04,0.014,-0.035,0.016,-0.03,0.017,-0.018,0.013,-0.021,0.03,-0.003,0.017,-0.011,0.014,0.013,0.014,-0.005,0.013,-0.066,0.025,0.031,0.017
12069424,16 Cyg A,295.45397,50.52506,800,5816,10,5833,12,0.093,0.007,1.13,0.02,4.291,7,0.5,2.2,0.093,0.007,-0.049,0.012,-0.062,0.016,0.001,0.006,0.033,0.012,0.035,0.008,0.014,0.006,-0.024,0.014,0.006,0.007,0.031,0.007,0.001,0.005,0.012,0.006,0.019,0.009,-0.057,0.007
12069449,16 Cyg B,295.46655,50.51752,800,5763,10,5775,12,0.062,0.007,1.06,0.02,4.356,7.1,0.5,1.4,0.062,0.007,-0.026,0.012,-0.041,0.016,0.007,0.006,0.033,0.012,0.043,0.008,0.011,0.006,-0.013,0.014,0.01,0.007,0.035,0.007,0.004,0.005,0.013,0.006,0.02,0.009,-0.052,0.007
12258514,HD183298,291.59204,50.98731,270,6020,20,6071,24,0.027,0.017,1.37,0.06,4.124,4.5,0.8,3.5,0.027,0.017,0.037,0.023,0.004,0.03,0.033,0.013,0.004,0.015,0.019,0.016,0.028,0.012,0.038,0.027,-0.008,0.015,-0.009,0.013,0.003,0.013,0.011,0.012,-0.011,0.023,-0.047,0.016
